UniqueCourseSectionId,StudentId,FailureRisk,InProgressGrade,FinalGrade,Absences,Comments,SentToStudent,ReferForAssistance
1234,4716587,Low,P,,99,asdsd,1,0
1234,4716587,,,,99,,1,0
1234,4716587,High,,,,,0,0
1234,4716587,High,B,,1,2,1,0
1234,4716587,High,F,,3,,0,0
1234,4716587,High,D,,3,,0,0
1234,4716587,Low,F,,3,,0,0
1234,4716587,Low,C,,2,AMAZING,0,0
1234,4716587,Low,C,,3,COOL,0,0
1234,4716587,Low,C,,3,"My Comment",0,0
1234,4716587,Low,B,,2,"My new Comment",0,0
1234,4716587,Low,B,,3,"My new Comment1",0,0
1234,4716587,,,,,,0,0
course1,4716587,High,B,,1,test,0,0
course1,4716587,High,B,,1,test,0,0
course1,4960838,,,,,,0,0
course1,4960838,,,,,,0,0
course1,4961598,,,,,,0,0
course1,4961598,,,,,,0,0
course1,5093989,,,,,,0,0
course1,5093989,,,,,,0,0
course1,5093990,,,,,,0,0
course1,5093990,,,,,,0,0
course1,5093991,,,,,,0,0
course1,5093991,,,,,,0,0
course1,5093992,High,B,,1,test,1,0
course1,5093992,High,B,,1,test,0,0
course1,5093993,,,,,,0,0
course1,5093993,High,B,,1,test,0,0
course1,5093994,,,,,,0,0
course1,5093994,,,,,,0,0
course1,5093995,,,,,,0,0
course1,5093995,,,,,,0,0
course1,5093996,,,,,,0,0
course1,5093996,,,,,,0,0
course1,5093997,High,B,,1,test,1,0
course1,5093997,High,B,,1,test,1,0
course1,5093998,,,,,,0,0
course1,5093998,,,,,,0,0
course1,5093999,,,,,,0,0
course1,5093999,,,,,,0,0
course1,5094000,High,B,,1,test,1,0
course1,5094000,High,B,,1,test,1,0
course1,5094001,,,,,,0,0
course1,5094001,,,,,,0,0
course1,5094003,High,B,,1,test,1,0
course1,5094003,High,B,,1,test,0,0
course1,5094004,,,,,,0,0
course1,5094004,,,,,,0,0
course1,5094005,,,,,,0,0
course1,5094005,,,,,,0,0
course1,5094006,High,B,,1,test,0,0
course1,5094006,High,B,,1,test,0,0
course1,5094007,,,,,,0,0
course1,5094007,,,,,,0,0
course1,5094008,,,,,,0,0
course1,5094008,,,,,,0,0
course1,5094010,,,,,,0,0
course1,5094010,,,,,,0,0
course1,5094011,Low,,,,,0,0
course1,5094011,Low,,,,,0,0
course1,5094011,High,B,,1,test,0,0
course1,5094012,,,,,,0,0
course1,5094012,,,,,,0,0
course1,5094013,,,,,,0,0
course1,5094013,,,,,,0,0
course1,5094014,High,B,,1,test,1,0
course1,5094014,High,B,,1,test,1,0
course1,5094015,High,B,,1,test,1,0
course1,5094015,High,B,,1,test,1,0
course1,5094016,,,,,,0,0
course1,5094016,,,,,,0,0
course1,5094017,,,,,,0,0
course1,5094017,,,,,,0,0
course1,5094018,,,,,,0,0
course1,5094018,,,,,,0,0
course1,5094020,,,,,,0,0
course1,5094020,,,,,,0,0
course1,5094021,,,,,,0,0
course1,5094021,,,,,,0,0
course1,5094022,,,,,,0,0
course1,5094022,,,,,,0,0
course1,5094023,,,,,,0,0
course1,5094023,,,,,,0,0
course1,5094024,High,B,,1,test,1,0
course1,5094024,High,B,,1,test,0,0
course1,5094025,,,,,,0,0
course1,5094025,,,,,,0,0
course1,5094026,,,,,,0,0
course1,5094026,,,,,,0,0
course1,5094027,,,,,,0,0
course1,5094027,,,,,,0,0
course1,5094028,,,,,,0,0
course1,5094028,,,,,,0,0
course1,5094029,,,,,,0,0
course1,5094029,,,,,,0,0
course1,5094031,Low,,,,,0,0
course1,5094031,Low,,,,,0,0
course1,5094031,High,B,,1,test,0,0
course1,5094032,,,,,,0,0
course1,5094032,,,,,,0,0
course1,5094034,,,,,,0,0
course1,5094034,,,,,,0,0
course1,5094035,,,,,,0,0
course1,5094035,,,,,,0,0
course1,5094036,High,B,,1,test,1,0
course1,5094036,High,B,,1,test,1,0
course1,5094037,,,,,,0,0
course1,5094037,,,,,,0,0
course1,5094038,Low,,,,,0,0
course1,5094038,Low,,,,,0,0
course1,5094038,High,B,,1,test,0,0
course1,5094039,,,,,,0,0
course1,5094039,,,,,,0,0
course1,5094040,,,,,,0,0
course1,5094040,,,,,,0,0
course1,5094041,,,,,,0,0
course1,5094041,,,,,,0,0
course1,5094042,,,,,,0,0
course1,5094042,,,,,,0,0
course1,5094043,,,,,,0,0
course1,5094043,,,,,,0,0
course1,5094044,,,,,,0,0
course1,5094044,,,,,,0,0
course1,5094045,,,,,,0,0
course1,5094045,,,,,,0,0
course1,5094046,,,,,,0,0
course1,5094046,,,,,,0,0
course1,5094047,High,B,,1,test,0,0
course1,5094047,High,B,,1,test,0,0
course1,5094048,,,,,,0,0
course1,5094048,,,,,,0,0
course1,5094049,,,,,,0,0
course1,5094049,,,,,,0,0
course1,5094050,High,B,,1,test,1,0
course1,5094050,High,B,,1,test,1,0
course1,5094051,,,,,,0,0
course1,5094051,,,,,,0,0
course1,5094052,,,,,,0,0
course1,5094052,,,,,,0,0
course1,5094053,,,,,,0,0
course1,5094053,,,,,,0,0
course1,5094054,,,,,,0,0
course1,5094054,,,,,,0,0
course1,5094055,,,,,,0,0
course1,5094055,,,,,,0,0
course1,5094056,,,,,,0,0
course1,5094056,,,,,,0,0
course1,5094057,,,,,,0,0
course1,5094057,,,,,,0,0
course1,5094058,,,,,,0,0
course1,5094058,,,,,,0,0
course1,5094059,High,B,,1,test,1,0
course1,5094059,High,B,,1,test,0,0
course1,5094060,,,,,,0,0
course1,5094060,,,,,,0,0
course1,5094061,High,B,,1,test,1,0
course1,5094061,High,B,,1,test,1,0
course1,5094062,,,,,,0,0
course1,5094062,,,,,,0,0
course1,5094063,,,,,,0,0
course1,5094063,,,,,,0,0
course1,5094064,,,,,,0,0
course1,5094064,,,,,,0,0
course1,5094065,,,,,,0,0
course1,5094065,,,,,,0,0
course1,5094066,High,B,,1,test,0,0
course1,5094066,High,B,,1,test,0,0
course1,5094067,,,,,,0,0
course1,5094067,,,,,,0,0
course1,5094068,,,,,,0,0
course1,5094068,,,,,,0,0
course1,5094069,,,,,,0,0
course1,5094069,,,,,,0,0
course1,5094071,,,,,,0,0
course1,5094071,,,,,,0,0
course1,5094072,High,B,,1,test,0,0
course1,5094072,High,B,,1,test,0,0
course1,5094073,,,,,,0,0
course1,5094073,,,,,,0,0
course1,5094076,High,B,,1,test,1,0
course1,5094076,High,B,,1,test,0,0
course1,5094077,,,,,,0,0
course1,5094077,,,,,,0,0
course1,5094078,,,,,,0,0
course1,5094078,,,,,,0,0
course1,5094079,,,,,,0,0
course1,5094079,,,,,,0,0
course1,5094080,,,,,,0,0
course1,5094080,,,,,,0,0
course1,5094081,High,B,,1,test,1,0
course1,5094081,High,B,,1,test,1,0
course1,5094081,High,B,,1,test,0,0
course1,5094082,,,,,,0,0
course1,5094082,,,,,,0,0
course1,5094083,,,,,,0,0
course1,5094083,,,,,,0,0
course1,5094084,,,,,,0,0
course1,5094084,,,,,,0,0
course1,5094085,,,,,,0,0
course1,5094085,,,,,,0,0
course1,5094086,,,,,,0,0
course1,5094086,,,,,,0,0
course1,5094087,,,,,,0,0
course1,5094087,,,,,,0,0
course1,5094088,,,,,,0,0
course1,5094088,,,,,,0,0
course1,5094089,High,B,,1,test,1,0
course1,5094089,High,B,,1,test,1,0
course1,5094090,,,,,,0,0
course1,5094090,,,,,,0,0
course1,5094091,High,B,,1,test,1,0
course1,5094091,High,B,,1,test,1,0
course1,5094092,,,,,,0,0
course1,5094092,,,,,,0,0
course1,5094093,,,,,,0,0
course1,5094093,,,,,,0,0
course1,5094094,,,,,,0,0
course1,5094094,,,,,,0,0
course1,5094095,High,B,,1,test,1,0
course1,5094095,High,B,,1,test,1,0
course1,5094096,,,,,,0,0
course1,5094096,,,,,,0,0
course1,5094097,,,,,,0,0
course1,5094097,,,,,,0,0
course1,5094098,,,,,,0,0
course1,5094098,,,,,,0,0
course1,5094099,High,B,,1,test,1,0
course1,5094099,High,B,,1,test,1,0
course1,5094099,High,B,,1,test,0,0
course1,5094100,High,B,,1,test,1,0
course1,5094100,High,B,,1,test,1,0
course1,5094101,,,,,,0,0
course1,5094101,,,,,,0,0
course1,5094102,,,,,,0,0
course1,5094102,,,,,,0,0
course1,5094103,,,,,,0,0
course1,5094103,,,,,,0,0
course1,5094104,,,,,,0,0
course1,5094104,,,,,,0,0
course1,5094105,,,,,,0,0
course1,5094105,,,,,,0,0
course1,5094106,High,B,,1,test,1,0
course1,5094106,High,B,,1,test,1,0
course1,5094107,,,,,,0,0
course1,5094107,,,,,,0,0
course1,5094108,,,,,,0,0
course1,5094108,,,,,,0,0
course1,5094109,,,,,,0,0
course1,5094109,,,,,,0,0
course1,5094110,High,B,,1,test,1,0
course1,5094110,High,B,,1,test,1,0
course1,5094110,High,B,,1,test,0,0
course1,5094111,,,,,,0,0
course1,5094111,,,,,,0,0
course1,5094112,,,,,,0,0
course1,5094112,,,,,,0,0
course1,5094113,,,,,,0,0
course1,5094113,,,,,,0,0
course1,5094115,,,,,,0,0
course1,5094115,,,,,,0,0
course1,5094116,High,B,,1,test,1,0
course1,5094116,High,B,,1,test,1,0
course1,5094117,,,,,,0,0
course1,5094117,,,,,,0,0
course1,5094118,,,,,,0,0
course1,5094118,,,,,,0,0
course1,5094119,,,,,,0,0
course1,5094119,High,B,,1,test,0,0
course1,5094120,,,,,,0,0
course1,5094120,,,,,,0,0
course1,5094121,,,,,,0,0
course1,5094121,,,,,,0,0
course1,5094122,,,,,,0,0
course1,5094122,,,,,,0,0
course1,5094123,,,,,,0,0
course1,5094123,,,,,,0,0
course1,5094124,,,,,,0,0
course1,5094124,,,,,,0,0
course1,5094125,,,,,,0,0
course1,5094125,,,,,,0,0
course1,5094126,,,,,,0,0
course1,5094126,,,,,,0,0
course1,5094127,,,,,,0,0
course1,5094127,,,,,,0,0
course1,5094128,,,,,,0,0
course1,5094128,,,,,,0,0
course1,5094129,,,,,,0,0
course1,5094129,,,,,,0,0
course1,5094131,High,B,,1,test,1,0
course1,5094131,High,B,,1,test,0,0
course1,5094133,,,,,,0,0
course1,5094133,,,,,,0,0
course1,5094134,,,,,,0,0
course1,5094134,,,,,,0,0
course1,5094135,,,,,,0,0
course1,5094135,,,,,,0,0
course1,5094138,,,,,,0,0
course1,5094138,,,,,,0,0
course1,5094139,High,B,,1,test,1,0
course1,5094139,High,B,,1,test,0,0
course1,5094140,,,,,,0,0
course1,5094140,,,,,,0,0
course1,5094141,High,B,,1,test,1,0
course1,5094141,High,B,,1,test,1,0
course1,5094142,,,,,,0,0
course1,5094142,,,,,,0,0
course1,5094143,,,,,,0,0
course1,5094143,,,,,,0,0
course1,5094144,,,,,,0,0
course1,5094144,,,,,,0,0
course1,5094145,High,B,,1,test,1,0
course1,5094145,High,B,,1,test,1,0
course1,5094145,High,B,,1,test,0,0
course1,5094146,,,,,,0,0
course1,5094146,,,,,,0,0
course1,5094147,,,,,,0,0
course1,5094147,,,,,,0,0
course1,5094148,,,,,,0,0
course1,5094148,,,,,,0,0
course1,5094149,,,,,,0,0
course1,5094149,,,,,,0,0
course1,5094150,,,,,,0,0
course1,5094150,,,,,,0,0
course1,5094151,,,,,,0,0
course1,5094151,,,,,,0,0
course1,5094152,,,,,,0,0
course1,5094152,,,,,,0,0
course1,5094153,,,,,,0,0
course1,5094153,,,,,,0,0
course1,5094154,High,B,,1,test,1,0
course1,5094154,High,B,,1,test,1,0
course1,5094155,,,,,,0,0
course1,5094155,,,,,,0,0
course1,5094156,,,,,,0,0
course1,5094156,,,,,,0,0
course1,5094157,,,,,,0,0
course1,5094157,,,,,,0,0
course1,5094158,,,,,,0,0
course1,5094158,,,,,,0,0
course1,5094159,,,,,,0,0
course1,5094159,,,,,,0,0
course1,5094160,,,,,,0,0
course1,5094160,,,,,,0,0
course1,5094161,,,,,,0,0
course1,5094161,,,,,,0,0
course1,5094162,,,,,,0,0
course1,5094162,,,,,,0,0
course1,5094163,,,,,,0,0
course1,5094163,,,,,,0,0
course1,5094164,,,,,,0,0
course1,5094164,,,,,,0,0
course1,5094167,,,,,,0,0
course1,5094167,,,,,,0,0
course1,5094168,,,,,,0,0
course1,5094168,,,,,,0,0
course1,5094169,,,,,,0,0
course1,5094169,,,,,,0,0
course1,5094170,,,,,,0,0
course1,5094170,,,,,,0,0
course1,5094171,,,,,,0,0
course1,5094171,,,,,,0,0
course1,5094172,,,,,,0,0
course1,5094172,,,,,,0,0
course1,5094173,,,,,,0,0
course1,5094173,,,,,,0,0
course1,5094174,,,,,,0,0
course1,5094174,,,,,,0,0
course1,5094175,,,,,,0,0
course1,5094175,,,,,,0,0
course1,5094176,High,B,,1,test,1,0
course1,5094176,High,B,,1,test,1,0
course1,5094177,,,,,,0,0
course1,5094177,,,,,,0,0
course1,5094179,,,,,,0,0
course1,5094179,,,,,,0,0
course1,5094180,,,,,,0,0
course1,5094180,,,,,,0,0
course1,5094181,,,,,,0,0
course1,5094181,,,,,,0,0
course1,5094182,,,,,,0,0
course1,5094182,,,,,,0,0
course1,5094184,,,,,,0,0
course1,5094184,,,,,,0,0
course1,5094185,,,,,,0,0
course1,5094185,,,,,,0,0
course1,5094186,High,B,,1,test,1,0
course1,5094186,High,B,,1,test,0,0
course1,5094187,,,,,,0,0
course1,5094187,,,,,,0,0
course1,5094188,,,,,,0,0
course1,5094188,,,,,,0,0
course1,5094189,,,,,,0,0
course1,5094189,,,,,,0,0
course1,5094190,High,B,,1,test,1,0
course1,5094190,High,B,,1,test,1,0
course1,5094191,,,,,,0,0
course1,5094191,,,,,,0,0
course1,5094192,,,,,,0,0
course1,5094192,,,,,,0,0
course1,5094193,,,,,,0,0
course1,5094193,,,,,,0,0
course1,5094194,High,B,,1,test,1,0
course1,5094194,High,B,,1,test,1,0
course1,5094195,,,,,,0,0
course1,5094195,,,,,,0,0
course1,5094196,,,,,,0,0
course1,5094196,,,,,,0,0
course1,5094197,,,,,,0,0
course1,5094197,,,,,,0,0
course1,5094198,,,,,,0,0
course1,5094198,,,,,,0,0
course1,5094199,,,,,,0,0
course1,5094199,,,,,,0,0
course1,5094200,High,B,,1,test,0,0
course1,5094200,High,B,,1,test,0,0
course1,5094201,,,,,,0,0
course1,5094201,,,,,,0,0
course1,5094202,,,,,,0,0
course1,5094202,,,,,,0,0
course1,5094203,,,,,,0,0
course1,5094203,,,,,,0,0
