[2018-03-14 05:41:08] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-14 05:47:44] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-14 05:50:12] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-14 05:50:27] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-14 05:52:20] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-14 05:52:39] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-14 05:52:57] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-14 05:53:22] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-14 05:53:34] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-14 05:54:11] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-14 05:54:51] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-14 05:58:07] api.NOTICE: getStudentGroupsListAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/students/4716587/groups/62; Query String: ; Request Body:  [] []
[2018-03-19 04:47:07] api.NOTICE: addFacultyToCourseAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/courses/faculty; Query String: ; Request Body: {"course_faculty_list":[{"course_id":"436789","faculty_id":5035587,"permissionset_id":361,"permissionset_name":"AllAccess"}]} [] []
[2018-03-19 04:47:53] api.NOTICE: addFacultyToCourseAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/courses/faculty; Query String: ; Request Body: {"course_faculty_list":[{"course_id":"436789","faculty_id":5035587,"permissionset_id":361,"permissionset_name":"AllAccess"}]} [] []
[2018-03-19 06:37:41] api.NOTICE: addFacultyToCourseAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/courses/faculty; Query String: ; Request Body: {"course_faculty_list":[{"course_id":"436789","faculty_id":5035587,"permissionset_id":361,"permissionset_name":"AllAccess"}]} [] []
[2018-03-19 06:39:21] api.NOTICE: addFacultyToCourseAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/courses/faculty; Query String: ; Request Body: {"course_faculty_list":[{"course_id":"436789","faculty_id":5035587,"permissionset_id":361,"permissionset_name":"AllAccess"}]} [] []
[2018-03-19 06:40:25] api.NOTICE: addFacultyToCourseAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/courses/faculty; Query String: ; Request Body: {"course_faculty_list":[{"course_id":"436789","faculty_id":5035587,"permissionset_id":361,"permissionset_name":"AllAccess"}]} [] []
[2018-03-19 06:41:08] api.NOTICE: addFacultyToCourseAction; Message: ; PersonId: 184178; OrganizationId: 62; IP Address: 10.0.2.2;         Path: /api/v1/courses/faculty; Query String: ; Request Body: {"course_faculty_list":[{"course_id":"436789","faculty_id":5035587,"permissionset_id":361,"permissionset_name":"AllAccess"}]} [] []
[2018-03-20 03:48:38] api.NOTICE: getStudentCountBasedCriteriaAction; Message: ; PersonId: 4559001; OrganizationId: 190; IP Address: 10.0.2.2;         Path: /api/v1/reports/student_population?report_short_code=SUB-COM; Query String: report_short_code=SUB-COM; Request Body: {"organization_id":"190","person_id":"4559001","search_attributes":{"filterCount":0,"org_academic_year":{"year":{},"terms":{}},"risk_indicator_date":"","org_academic_year_id":[],"org_academic_terms_id":[],"risk_indicator_ids":"","group_ids":"","group_names":[],"cohort_ids":"","cohort_names":[],"cohort_filter":{"cohorts":[],"org_academic_year_id":346,"org_academic_year_name":"1718"},"isps":[],"datablocks":[],"courses":[],"static_list_ids":"","static_list_names":[],"survey_status":[],"retention_completion":{},"student_status":{"status_value":[],"org_academic_year_id":[]},"filterText":""},"mandatory_filters":{"org_academic_year_id":[346],"org_academic_year":{"year":{"id":346,"name":"1718","year_id":201718}},"gpa_org_academic_year":{"year":{"id":346,"name":"1718","year_id":201718}},"retention_org_academic_year":{"year":{"id":346,"name":"1718","year_id":201718}},"latest_survey":{"name":"Transition One","id":19},"latest_cohort":{"name":"Survey Cohort 1","id":1},"group_names":["tset","tets"],"datablocks":{},"isps":{"id":7828,"display_name":"datenoneisp","item_data_type":"D","item_meta_key":"Gender","calendar_assignment":"N","year_term":false,"subpopulation1":{"start_date":"03/20/2018","end_date":"03/21/2018"},"subpopulation2":{"start_date":"03/22/2018","end_date":"03/23/2018"}},"isqs":{},"survey":{},"filterText":["isp",{"text":"datenoneisp","yearTerm":""},["tset","tets"]]}} [] []
